menu,weather,corr,month
drinks_alcohol,diurnal_range,0.14913857914154027,3
product_sales,diurnal_range,0.11175958124266276,3
kalguksu,diurnal_range,,3
takeaway,diurnal_range,0.1413436402481331,3
total,rain_bool,-0.13465872909285134,3
hot_milmyeon,rain_bool,-0.09003124107306353,3
milmyeon_with_mandu,rain_bool,-0.1022551493841752,3
milmyeon_only,rain_bool,-0.08240835924429107,3
delivery,rain_bool,-0.10376464029262927,3
side_menu,rain_bool,-0.09010762417843417,3
drinks_alcohol,rain_bool,-0.07603714340988135,3
product_sales,rain_bool,0.04377624724226592,3
kalguksu,rain_bool,,3
takeaway,rain_bool,-0.10883891047230794,3
total,feel_temp,0.3567334834032669,3
hot_milmyeon,feel_temp,-0.1961168629638691,3
milmyeon_with_mandu,feel_temp,0.3796080409771187,3
milmyeon_only,feel_temp,0.2583229322369882,3
delivery,feel_temp,0.02056155382123186,3
side_menu,feel_temp,0.1462821273746494,3
drinks_alcohol,feel_temp,0.2938259572772566,3
product_sales,feel_temp,-0.08512001566751373,3
kalguksu,feel_temp,,3
takeaway,feel_temp,-0.07864488592686385,3
total,avgTa,0.4263496360694468,4
hot_milmyeon,avgTa,,4
milmyeon_with_mandu,avgTa,0.3479027368099776,4
milmyeon_only,avgTa,0.24093136960341818,4
delivery,avgTa,0.019272043185343955,4
side_menu,avgTa,0.24386138098674429,4
drinks_alcohol,avgTa,0.18845741248940398,4
product_sales,avgTa,0.060583908875789266,4
kalguksu,avgTa,,4
takeaway,avgTa,0.11786078464022193,4
total,avgWs,-0.08760465265989029,4
hot_milmyeon,avgWs,,4
milmyeon_with_mandu,avgWs,-0.09102248843308902,4
milmyeon_only,avgWs,-0.03145967920838358,4
delivery,avgWs,-0.0009439210900238973,4
side_menu,avgWs,-0.008504179784266047,4
drinks_alcohol,avgWs,-0.13173567912394268,4
product_sales,avgWs,-0.02395556128224294,4
kalguksu,avgWs,,4
takeaway,avgWs,-0.04363183703318659,4
total,maxTa,0.501402878015359,4
hot_milmyeon,maxTa,,4
milmyeon_with_mandu,maxTa,0.4543661085365973,4
milmyeon_only,maxTa,0.2360731281968623,4
delivery,maxTa,0.11386637469295342,4
side_menu,maxTa,0.2403369588706417,4
drinks_alcohol,maxTa,0.19633725779229322,4
product_sales,maxTa,0.09605361806253185,4
kalguksu,maxTa,,4
takeaway,maxTa,0.13022288469348917,4
total,minTa,0.2200700106216623,4
hot_milmyeon,minTa,,4
milmyeon_with_mandu,minTa,0.15788208171515586,4
milmyeon_only,minTa,0.14752953759641738,4
delivery,minTa,-0.05805410244671452,4
side_menu,minTa,0.1520818145365566,4
drinks_alcohol,minTa,0.11953004207264563,4
product_sales,minTa,0.020131658102614216,4
kalguksu,minTa,,4
takeaway,minTa,0.03613465509089604,4
total,avgRhm,-0.14159032824148884,4
hot_milmyeon,avgRhm,,4
milmyeon_with_mandu,avgRhm,-0.23020144042670704,4
milmyeon_only,avgRhm,0.041253062780550714,4
delivery,avgRhm,-0.19019276132767005,4
side_menu,avgRhm,0.012949831174510824,4
drinks_alcohol,avgRhm,0.03185393962834018,4
product_sales,avgRhm,-0.05638683101042527,4
kalguksu,avgRhm,,4
takeaway,avgRhm,-0.004007844706198401,4
total,avgTs,0.3950996111754508,4
hot_milmyeon,avgTs,,4
milmyeon_with_mandu,avgTs,0.40588888753721714,4
milmyeon_only,avgTs,0.13894679382901354,4
delivery,avgTs,0.05994717743107401,4
side_menu,avgTs,0.14654308013385428,4
drinks_alcohol,avgTs,0.07298082418003862,4
product_sales,avgTs,0.09497283335534952,4
kalguksu,avgTs,,4
takeaway,avgTs,0.10970507242292202,4
total,sumGsr,0.4460280616322347,4
hot_milmyeon,sumGsr,,4
milmyeon_with_mandu,sumGsr,0.462223570968686,4
milmyeon_only,sumGsr,0.1532927464451428,4
delivery,sumGsr,0.1455460369383332,4
side_menu,sumGsr,0.1565882691006065,4
drinks_alcohol,sumGsr,0.08843460984441333,4
product_sales,sumGsr,0.10711160973279722,4
kalguksu,sumGsr,,4
takeaway,sumGsr,0.057700894166715117,4
total,sumSsHr,0.42045645872338017,4
hot_milmyeon,sumSsHr,,4
milmyeon_with_mandu,sumSsHr,0.43333071283135766,4
milmyeon_only,sumSsHr,0.14747009242230064,4
delivery,sumSsHr,0.1156046675960038,4
side_menu,sumSsHr,0.1500048933030882,4
drinks_alcohol,sumSsHr,0.0737843170089814,4
product_sales,sumSsHr,0.10113515935817895,4
kalguksu,sumSsHr,,4
takeaway,sumSsHr,0.060547493818201,4
total,avgTca,-0.34193594514562214,4
hot_milmyeon,avgTca,,4
milmyeon_with_mandu,avgTca,-0.34571392095217174,4
milmyeon_only,avgTca,-0.13051238234672755,4
delivery,avgTca,-0.08967475065043526,4
side_menu,avgTca,-0.1189677324815244,4
drinks_alcohol,avgTca,-0.09719534277567636,4
product_sales,avgTca,0.008772030822199342,4
kalguksu,avgTca,,4
takeaway,avgTca,-0.030328264831968033,4
total,sumRn,-0.23656251915879015,4
hot_milmyeon,sumRn,,4
milmyeon_with_mandu,sumRn,-0.2239274654125973,4
milmyeon_only,sumRn,-0.10426088422403454,4
delivery,sumRn,-0.006725852062635518,4
side_menu,sumRn,-0.08466657435357618,4
drinks_alcohol,sumRn,-0.12251912430459548,4
product_sales,sumRn,-0.11104768084495732,4
kalguksu,sumRn,,4
takeaway,sumRn,-0.06191974134459861,4
total,avgPa,-0.03067640449960695,4
hot_milmyeon,avgPa,,4
milmyeon_with_mandu,avgPa,0.1694019544371512,4
milmyeon_only,avgPa,-0.21219086732332423,4
delivery,avgPa,0.02996946406752249,4
side_menu,avgPa,-0.2117432383398977,4
drinks_alcohol,avgPa,-0.11398969348179154,4
product_sales,avgPa,0.0962857036504953,4
kalguksu,avgPa,,4
takeaway,avgPa,-0.043047298949992915,4
total,diurnal_range,0.34181132080153187,4
hot_milmyeon,diurnal_range,,4
milmyeon_with_mandu,diurnal_range,0.35754840064250065,4
milmyeon_only,diurnal_range,0.11040156198387209,4
delivery,diurnal_range,0.201932231335638,4
side_menu,diurnal_range,0.1102234813585516,4
drinks_alcohol,diurnal_range,0.09546327596383224,4
product_sales,diurnal_range,0.09082669133394343,4
kalguksu,diurnal_range,,4
takeaway,diurnal_range,0.11296285698607034,4
total,rain_bool,-0.2893455250072846,4
hot_milmyeon,rain_bool,,4
milmyeon_with_mandu,rain_bool,-0.3401166885773929,4
milmyeon_only,rain_bool,-0.060430737896385776,4
delivery,rain_bool,0.011215375922276682,4
side_menu,rain_bool,-0.07359624993968564,4
drinks_alcohol,rain_bool,-0.0830545043497581,4
product_sales,rain_bool,-0.07492793745516015,4
kalguksu,rain_bool,,4
takeaway,rain_bool,0.009877512237789142,4
total,feel_temp,0.4261241538658456,4
hot_milmyeon,feel_temp,,4
milmyeon_with_mandu,feel_temp,0.3468290706105831,4
milmyeon_only,feel_temp,0.24181096645850694,4
delivery,feel_temp,0.011705401518835422,4
side_menu,feel_temp,0.24134301033233396,4
